P,ErrMean,ErrMeanAbs,ErrStDev,ErrStDevDevSqrtN
0.54491,-1.9787371181941514e-06,1.9787371181941514e-06,0.0002747971946328042,2.7479719463280418e-06
0.5498999999999999,9.681584595434555e-08,9.681584595434555e-08,0.00027694884375060276,2.7694884375060274e-06
0.55489,1.4521171902204254e-06,1.4521171902204254e-06,0.0002754737042231024,2.754737042231024e-06
0.5598799999999999,1.4719210284091399e-06,1.4719210284091399e-06,0.0002730653699080552,2.7306536990805522e-06
0.56487,-5.28655338581141e-07,5.28655338581141e-07,0.00027444290373925624,2.744429037392562e-06
0.5698599999999999,-6.128880465111897e-06,6.128880465111897e-06,0.0002769944774025306,2.7699447740253063e-06
0.57485,-2.288401530028339e-06,2.288401530028339e-06,0.0002701719676921012,2.7017196769210117e-06
0.5798399999999999,-5.813164326056552e-06,5.813164326056552e-06,0.00027103501798290833,2.710350179829083e-06
0.58483,-2.467747124866537e-06,2.467747124866537e-06,0.00027306215758570417,2.7306215758570417e-06
0.58982,4.535391873843864e-06,4.535391873843864e-06,0.0002735639831402959,2.735639831402959e-06
0.59481,5.678808309948447e-06,5.678808309948447e-06,0.00027193365726380916,2.7193365726380916e-06
0.5998,-6.513314063213982e-07,6.513314063213982e-07,0.0002718495854314469,2.7184958543144693e-06
0.6047899999999999,6.737118540129483e-07,6.737118540129483e-07,0.0002746154133114524,2.7461541331145244e-06
0.60978,-8.50678894240553e-06,8.50678894240553e-06,0.0002757706649503052,2.757706649503052e-06
0.6147699999999999,3.2653657843688677e-07,3.2653657843688677e-07,0.00028011147180063506,2.8011147180063506e-06
0.61976,-3.4061391020504095e-06,3.4061391020504095e-06,0.0002769050609666347,2.769050609666347e-06
0.6247499999999999,3.538951140032187e-06,3.538951140032187e-06,0.00027756334197390236,2.7756334197390235e-06
0.62974,4.0187327903713374e-06,4.0187327903713374e-06,0.000268361013243343,2.68361013243343e-06
0.6347299999999999,-1.2999813310511367e-07,1.2999813310511367e-07,0.0002715882104255518,2.7158821042555177e-06
0.63972,8.718208693329065e-06,8.718208693329065e-06,0.000266578506476969,2.66578506476969e-06
0.64471,3.919748655676458e-07,3.919748655676458e-07,0.0002710450580715212,2.710450580715212e-06
0.6496999999999999,-7.073672451613544e-06,7.073672451613544e-06,0.0002692948901400184,2.692948901400184e-06
0.65469,1.6408628965903983e-05,1.6408628965903983e-05,0.0002715780448957055,2.715780448957055e-06
0.6596799999999999,3.4113618742300013e-06,3.4113618742300013e-06,0.00027051234651453537,2.705123465145354e-06
0.66467,4.459601088735909e-06,4.459601088735909e-06,0.0002667394921899049,2.6673949218990486e-06
0.6696599999999999,1.0291130833457985e-05,1.0291130833457985e-05,0.0002686056592603029,2.686056592603029e-06
0.67465,-4.127416320236621e-06,4.127416320236621e-06,0.0002731342151619392,2.7313421516193917e-06
0.6796399999999999,2.669797275060415e-06,2.669797275060415e-06,0.00026914833483985217,2.6914833483985215e-06
0.68463,1.3872719634205566e-05,1.3872719634205566e-05,0.00027499061659131926,2.7499061659131925e-06
0.6896199999999999,1.790347380146876e-05,1.790347380146876e-05,0.0002767929818665025,2.767929818665025e-06
0.69461,-1.8305276439055662e-06,1.8305276439055662e-06,0.0002788126375689507,2.788126375689507e-06
0.6996,4.881603382815103e-06,4.881603382815103e-06,0.00027735497222623664,2.7735497222623663e-06
0.7045899999999999,3.845102196775086e-06,3.845102196775086e-06,0.00027853567312721364,2.7853567312721363e-06
0.70958,1.0073404863600676e-05,1.0073404863600676e-05,0.0002761724570112838,2.7617245701128376e-06
0.7145699999999999,1.1139921747296755e-05,1.1139921747296755e-05,0.00026966729360853404,2.6966729360853403e-06
0.71956,-3.2872422695271242e-06,3.2872422695271242e-06,0.000273403141357635,2.73403141357635e-06
0.7245499999999999,1.5063895995114041e-06,1.5063895995114041e-06,0.0002699379582007655,2.6993795820076553e-06
0.72954,-7.684964601993427e-06,7.684964601993427e-06,0.0002782630517465825,2.782630517465825e-06
0.7345299999999999,-2.9046034859071646e-06,2.9046034859071646e-06,0.0002758948805637195,2.758948805637195e-06
0.73952,1.6015362883732842e-06,1.6015362883732842e-06,0.0002757549215978944,2.757549215978944e-06
0.7445099999999999,-8.012615434092952e-06,8.012615434092952e-06,0.000270600978393173,2.70600978393173e-06
0.7494999999999999,-2.895946995917249e-05,2.895946995917249e-05,0.00028217753483092173,2.821775348309217e-06
0.75449,1.00405527906957e-05,1.00405527906957e-05,0.00027301994209079963,2.730199420907996e-06
0.7594799999999999,6.153203875620239e-06,6.153203875620239e-06,0.0002714202751037795,2.714202751037795e-06
0.76447,4.338250684466538e-06,4.338250684466538e-06,0.00027151711962659935,2.7151711962659937e-06
0.7694599999999999,3.991191756668178e-06,3.991191756668178e-06,0.0002751694729437186,2.751694729437186e-06
0.77445,3.1367303755919673e-06,3.1367303755919673e-06,0.00026928027866826614,2.6928027866826616e-06
0.7794399999999999,-3.801405862165663e-06,3.801405862165663e-06,0.0002695416796973586,2.695416796973586e-06
0.78443,-4.882630819457612e-07,4.882630819457612e-07,0.0002789510126996022,2.789510126996022e-06
0.7894199999999999,6.296823007310392e-06,6.296823007310392e-06,0.00027075722420914777,2.707572242091478e-06
0.79441,1.2980280773125508e-05,1.2980280773125508e-05,0.0002752674264467563,2.752674264467563e-06
0.7994,3.830373184581881e-06,3.830373184581881e-06,0.00026683767425539915,2.6683767425539916e-06
0.8043899999999999,-1.3310116216732838e-06,1.3310116216732838e-06,0.000273258940710411,2.73258940710411e-06
0.80938,-2.8611563791330787e-06,2.8611563791330787e-06,0.00027243450567887963,2.7243450567887963e-06
0.8143699999999999,8.737625327307841e-06,8.737625327307841e-06,0.0002703124497694014,2.7031244976940137e-06
0.81936,-3.6383114566121977e-07,3.6383114566121977e-07,0.00026996919063610754,2.6996919063610756e-06
0.8243499999999999,-2.373570796174618e-07,2.373570796174618e-07,0.00026447740129881573,2.6447740129881574e-06
0.82934,3.117009739478216e-06,3.117009739478216e-06,0.0002631464125746125,2.631464125746125e-06
0.8343299999999999,5.690045612394901e-06,5.690045612394901e-06,0.0002717443548305769,2.717443548305769e-06
