nGrover,r,AngleFrac,Bias,NumSamp,NumEnd
124.0,41.0,0.29268292682926833,,10000.0,0.0
124.0,41.0,0.3170731707317073,,10000.0,0.0
124.0,41.0,0.34146341463414637,,10000.0,0.0
124.0,41.0,0.36585365853658536,,10000.0,0.0
124.0,41.0,0.3902439024390244,,10000.0,0.0
124.0,41.0,0.41463414634146345,,10000.0,0.0
124.0,41.0,0.43902439024390244,,10000.0,0.0
124.0,41.0,0.4634146341463415,,10000.0,0.0
124.0,41.0,0.4878048780487805,,10000.0,0.0
124.0,41.0,0.5121951219512195,,10000.0,0.0
124.0,41.0,0.5365853658536586,,10000.0,0.0
124.0,41.0,0.5609756097560976,,10000.0,0.0
124.0,41.0,0.5853658536585367,,10000.0,0.0
124.0,41.0,0.6097560975609756,,10000.0,0.0
124.0,41.0,0.6341463414634146,,10000.0,0.0
124.0,41.0,0.6585365853658537,,10000.0,0.0
124.0,41.0,0.6829268292682927,,10000.0,0.0
124.0,41.0,0.7073170731707318,,10000.0,0.0
124.0,41.0,0.7317073170731707,,10000.0,0.0
124.0,41.0,0.7560975609756098,,10000.0,0.0
124.0,41.0,0.7804878048780488,,10000.0,0.0
124.0,41.0,0.8048780487804879,,10000.0,0.0
124.0,41.0,0.8292682926829269,,10000.0,0.0
124.0,41.0,0.8536585365853658,,10000.0,0.0
124.0,41.0,0.8780487804878049,,10000.0,0.0
124.0,41.0,0.9024390243902439,,10000.0,0.0
124.0,41.0,0.926829268292683,,10000.0,0.0
124.0,41.0,0.951219512195122,,10000.0,0.0
124.0,41.0,0.975609756097561,,10000.0,0.0
125.0,41.0,0.024390243902439025,,10000.0,0.0
125.0,41.0,0.04878048780487805,,10000.0,0.0
125.0,41.0,0.07317073170731708,,10000.0,0.0
125.0,41.0,0.0975609756097561,,10000.0,0.0
125.0,41.0,0.12195121951219512,,10000.0,0.0
125.0,41.0,0.14634146341463417,,10000.0,0.0
125.0,41.0,0.17073170731707318,,10000.0,0.0
125.0,41.0,0.1951219512195122,,10000.0,0.0
125.0,41.0,0.21951219512195122,,10000.0,0.0
125.0,41.0,0.24390243902439024,,10000.0,0.0
125.0,41.0,0.2682926829268293,,10000.0,0.0
125.0,41.0,0.29268292682926833,,10000.0,0.0
125.0,41.0,0.3170731707317073,,10000.0,0.0
125.0,41.0,0.34146341463414637,,10000.0,0.0
125.0,41.0,0.36585365853658536,,10000.0,0.0
125.0,41.0,0.3902439024390244,,10000.0,0.0
125.0,41.0,0.41463414634146345,,10000.0,0.0
125.0,41.0,0.43902439024390244,,10000.0,0.0
125.0,41.0,0.4634146341463415,,10000.0,0.0
125.0,41.0,0.4878048780487805,,10000.0,0.0
125.0,41.0,0.5121951219512195,,10000.0,0.0
125.0,41.0,0.5365853658536586,,10000.0,0.0
125.0,41.0,0.5609756097560976,,10000.0,0.0
125.0,41.0,0.5853658536585367,,10000.0,0.0
125.0,41.0,0.6097560975609756,,10000.0,0.0
125.0,41.0,0.6341463414634146,,10000.0,0.0
125.0,41.0,0.6585365853658537,,10000.0,0.0
125.0,41.0,0.6829268292682927,0.000725804294159138,10000.0,9.0
125.0,41.0,0.7073170731707318,0.0004619574276457372,10000.0,79.0
125.0,41.0,0.7317073170731707,0.00019801685913406475,10000.0,240.0
125.0,41.0,0.7560975609756098,-6.601731298638835e-05,10000.0,324.0
125.0,41.0,0.7804878048780488,-0.00033014499029049293,10000.0,192.0
125.0,41.0,0.8048780487804879,-0.0005943660743187584,10000.0,35.0
125.0,41.0,0.8292682926829269,0.0002270805807490367,10000.0,8.0
125.0,41.0,0.8536585365853658,0.0006187231450755059,10000.0,105.0
125.0,41.0,0.8780487804878049,0.0003576371777447776,10000.0,1229.0
125.0,41.0,0.9024390243902439,0.00010272923258080397,10000.0,4176.0
125.0,41.0,0.926829268292683,-0.00014211179257451323,10000.0,3489.0
125.0,41.0,0.951219512195122,-0.00038273568491350036,10000.0,580.0
125.0,41.0,0.975609756097561,-0.0006227267645473322,10000.0,5.0
126.0,42.0,0.024390243902439025,0.0006383501097431687,10000.0,5.0
126.0,42.0,0.04878048780487805,0.0003868050306729903,10000.0,617.0
126.0,42.0,0.07317073170731708,0.00014760084774992653,10000.0,3716.0
126.0,42.0,0.0975609756097561,-9.937565710508998e-05,10000.0,4316.0
126.0,42.0,0.12195121951219512,-0.0003528171229330531,10000.0,1355.0
126.0,42.0,0.14634146341463417,-0.0005976700792272077,10000.0,140.0
126.0,42.0,0.17073170731707318,0.00048466589305876866,10000.0,22.0
126.0,42.0,0.1951219512195122,0.0005523830553840645,10000.0,137.0
126.0,42.0,0.21951219512195122,0.00029861609522018225,10000.0,567.0
126.0,42.0,0.24390243902439024,5.0042928239827674e-05,10000.0,891.0
126.0,42.0,0.2682926829268293,-0.00019539799807937814,10000.0,726.0
126.0,42.0,0.29268292682926833,-0.00044892604435811635,10000.0,239.0
126.0,42.0,0.3170731707317073,-0.0007000796223061892,10000.0,34.0
126.0,42.0,0.34146341463414637,-0.0008901372223038551,10000.0,1.0
126.0,42.0,0.36585365853658536,,10000.0,0.0
126.0,42.0,0.3902439024390244,,10000.0,0.0
126.0,42.0,0.41463414634146345,,10000.0,0.0
126.0,42.0,0.43902439024390244,,10000.0,0.0
126.0,42.0,0.4634146341463415,,10000.0,0.0
126.0,42.0,0.4878048780487805,,10000.0,0.0
126.0,42.0,0.5121951219512195,,10000.0,0.0
126.0,42.0,0.5365853658536586,,10000.0,0.0
126.0,42.0,0.5609756097560976,,10000.0,0.0
126.0,42.0,0.5853658536585367,,10000.0,0.0
126.0,42.0,0.6097560975609756,,10000.0,0.0
126.0,42.0,0.6341463414634146,,10000.0,0.0
126.0,42.0,0.6585365853658537,,10000.0,0.0
126.0,42.0,0.6829268292682927,,10000.0,0.0
126.0,42.0,0.7073170731707318,,10000.0,0.0
126.0,42.0,0.7317073170731707,,10000.0,0.0
126.0,42.0,0.7560975609756098,,10000.0,0.0
126.0,42.0,0.7804878048780488,,10000.0,0.0
126.0,42.0,0.8048780487804879,,10000.0,0.0
126.0,42.0,0.8292682926829269,,10000.0,0.0
126.0,42.0,0.8536585365853658,,10000.0,0.0
126.0,42.0,0.8780487804878049,,10000.0,0.0
126.0,42.0,0.9024390243902439,,10000.0,0.0
126.0,42.0,0.926829268292683,,10000.0,0.0
126.0,42.0,0.951219512195122,,10000.0,0.0
126.0,42.0,0.975609756097561,,10000.0,0.0
127.0,42.0,0.024390243902439025,,10000.0,0.0
127.0,42.0,0.04878048780487805,,10000.0,0.0
127.0,42.0,0.07317073170731708,,10000.0,0.0
127.0,42.0,0.0975609756097561,,10000.0,0.0
127.0,42.0,0.12195121951219512,,10000.0,0.0
127.0,42.0,0.14634146341463417,,10000.0,0.0
127.0,42.0,0.17073170731707318,,10000.0,0.0
127.0,42.0,0.1951219512195122,,10000.0,0.0
127.0,42.0,0.21951219512195122,,10000.0,0.0
127.0,42.0,0.24390243902439024,,10000.0,0.0
127.0,42.0,0.2682926829268293,,10000.0,0.0
127.0,42.0,0.29268292682926833,,10000.0,0.0
127.0,42.0,0.3170731707317073,,10000.0,0.0
127.0,42.0,0.34146341463414637,,10000.0,0.0
127.0,42.0,0.36585365853658536,,10000.0,0.0
127.0,42.0,0.3902439024390244,,10000.0,0.0
127.0,42.0,0.41463414634146345,,10000.0,0.0
127.0,42.0,0.43902439024390244,,10000.0,0.0
127.0,42.0,0.4634146341463415,,10000.0,0.0
127.0,42.0,0.4878048780487805,,10000.0,0.0
127.0,42.0,0.5121951219512195,,10000.0,0.0
127.0,42.0,0.5365853658536586,,10000.0,0.0
127.0,42.0,0.5609756097560976,,10000.0,0.0
127.0,42.0,0.5853658536585367,,10000.0,0.0
